1-1=80.2626
1-2=80.2626
1-3=80.2626
1-4=80.2626
1-5=80.2626
1-6=80.2626
1-7=80.2626
1-8=80.2626
1-9=80.2626
1-10=80.2626
1-11=80.2626
1-12=82.2544
2-1,2=80.2626
2-1,3=80.2626
2-1,4=80.2626
2-1,5=80.2626
2-1,6=80.2626
2-1,7=80.2626
2-1,8=80.2626
2-1,9=80.3531
2-1,10=80.2626
2-1,11=80.2626
2-1,12=82.2091
2-2,3=80.3531
2-2,4=80.2626
2-2,5=80.2626
2-2,6=80.2626
2-2,7=80.2626
2-2,8=80.2626
2-2,9=80.4889
2-2,10=80.2626
2-2,11=80.7605
2-2,12=82.2544
2-3,4=80.2626
2-3,5=80.3078
2-3,6=80.3984
2-3,7=80.2626
2-3,8=80.3531
2-3,9=80.9416
2-3,10=80.2626
2-3,11=80.172
2-3,12=81.8923
2-4,5=80.4889
2-4,6=80.3078
2-4,7=80.2626
2-4,8=80.2626
2-4,9=80.2626
2-4,10=80.0815
2-4,11=80.2626
2-4,12=82.2544
2-5,6=79.7193
2-5,7=80.2626
2-5,8=80.3078
2-5,9=81.2132
2-5,10=80.4889
2-5,11=80.172
2-5,12=80.6247
2-6,7=80.2626
2-6,8=80.1268
2-6,9=80.3531
2-6,10=80.4436
2-6,11=80.2626
2-6,12=82.345
2-7,8=80.2626
2-7,9=80.2626
2-7,10=80.2626
2-7,11=80.2626
2-7,12=82.7524
2-8,9=80.0815
2-8,10=80.3078
2-8,11=80.2626
2-8,12=81.9375
2-9,10=81.0321
2-9,11=80.5794
2-9,12=82.4355
2-10,11=80.3984
2-10,12=82.2997
2-11,12=82.6166
3-2,4,5=80.7605
3-2,4,6=80.4436
3-2,4,7=80.2626
3-2,4,8=80.2173
3-2,4,9=80.67
3-2,4,10=80.2626
3-2,4,11=79.8099
3-2,4,12=82.4355
3-2,5,6=79.493
3-2,5,7=80.9416
3-2,5,8=80.9869
3-2,5,9=81.0321
3-2,5,10=80.5342
3-2,5,11=80.7153
3-2,5,12=81.9828
3-2,6,7=80.3078
3-2,6,8=80.2626
3-2,6,9=80.3984
3-2,6,10=79.9457
3-2,6,11=80.5794
3-2,6,12=82.3902
3-2,7,8=80.2626
3-2,7,9=80.6247
3-2,7,10=80.5794
3-2,7,11=79.4477
3-2,7,12=81.847
3-2,8,9=79.5835
3-2,8,10=80.2626
3-2,8,11=78.995
3-2,8,12=82.1639
3-2,9,10=81.2132
3-2,9,11=80.8963
3-2,9,12=82.7976
3-2,10,11=80.4889
3-2,10,12=82.1639
3-2,11,12=82.7524
3-3,4,5=80.4436
3-3,4,6=80.6247
3-3,4,7=79.9457
3-3,4,8=80.3078
3-3,4,9=80.8058
3-3,4,10=80.2626
3-3,4,11=80.2626
3-3,4,12=81.3943
3-3,5,6=80.1268
3-3,5,7=80.5342
3-3,5,8=80.67
3-3,5,9=81.8017
3-3,5,10=80.2173
3-3,5,11=79.6288
3-3,5,12=81.847
3-3,6,7=80.2626
3-3,6,8=80.5794
3-3,6,9=80.6247
3-3,6,10=80.7153
3-3,6,11=79.6288
3-3,6,12=81.847
3-3,7,8=80.3531
3-3,7,9=82.0281
3-3,7,10=80.0815
3-3,7,11=79.6741
3-3,7,12=82.7071
3-3,8,9=81.1227
3-3,8,10=80.4889
3-3,8,11=79.2214
3-3,8,12=82.4808
3-3,9,10=81.3038
3-3,9,11=80.9416
3-3,9,12=81.4848
3-3,10,11=80.4889
3-3,10,12=81.9375
3-3,11,12=81.6206
3-4,5,6=79.1761
3-4,5,7=80.4436
3-4,5,8=80.4436
3-4,5,9=81.3038
3-4,5,10=80.5342
3-4,5,11=80.3078
3-4,5,12=81.3038
3-4,6,7=80.0362
3-4,6,8=80.8511
3-4,6,9=80.5794
3-4,6,10=80.67
3-4,6,11=80.6247
3-4,6,12=82.345
3-4,7,8=80.2626
3-4,7,9=80.2626
3-4,7,10=80.2626
3-4,7,11=80.2626
3-4,7,12=82.6618
3-4,8,9=79.4024
3-4,8,10=80.3078
3-4,8,11=79.8099
3-4,8,12=81.5301
3-4,9,10=80.8963
3-4,9,11=80.7605
3-4,9,12=82.5713
3-4,10,11=80.2626
3-4,10,12=82.1639
3-4,11,12=81.8017
3-5,6,7=80.5342
3-5,6,8=80.6247
3-5,6,9=81.2132
3-5,6,10=79.7193
3-5,6,11=79.4024
3-5,6,12=81.847
3-5,7,8=80.172
3-5,7,9=81.7565
3-5,7,10=80.5342
3-5,7,11=80.2626
3-5,7,12=82.7976
3-5,8,9=80.67
3-5,8,10=80.4889
3-5,8,11=80.2626
3-5,8,12=81.4848
3-5,9,10=81.5754
3-5,9,11=81.5754
3-5,9,12=81.3943
3-5,10,11=80.7605
3-5,10,12=81.5301
3-5,11,12=81.7112
3-6,7,8=80.2626
3-6,7,9=80.3984
3-6,7,10=80.5794
3-6,7,11=79.9004
3-6,7,12=82.8429
3-6,8,9=79.9457
3-6,8,10=80.0815
3-6,8,11=79.6741
3-6,8,12=82.1186
3-6,9,10=81.0774
3-6,9,11=80.5342
3-6,9,12=82.0733
3-6,10,11=80.5342
3-6,10,12=82.1639
3-6,11,12=82.6618
3-7,8,9=80.3078
3-7,8,10=80.2626
3-7,8,11=79.9909
3-7,8,12=82.8882
3-7,9,10=80.8963
3-7,9,11=80.9869
3-7,9,12=82.8429
3-7,10,11=80.2173
3-7,10,12=82.6166
3-7,11,12=82.0281
3-8,9,10=80.8963
3-8,9,11=81.1679
3-8,9,12=82.1639
3-8,10,11=79.9457
3-8,10,12=82.2544
3-8,11,12=83.024
3-9,10,11=81.6206
3-9,10,12=82.3902
3-9,11,12=82.9787
3-10,11,12=82.2091
